ID Unique,CountryCode,SeriesCode,DESCRIPTION
350,MDV,SP.POP.GROW,"Data sources: For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population."
351,MEX,SP.POP.GROW,Data sources: United Nations World Population Prospects
352,MEX,SP.POP.TOTL,Data sources : United Nations World Population Prospects
353,MHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
354,MHL,SP.POP.GROW,Data sources: United Nations World Population Prospects
355,MKD,SP.POP.GROW,Data sources: United Nations World Population Prospects
356,MKD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
357,MLI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
358,MLI,SP.POP.GROW,Data sources: United Nations World Population Prospects
359,MLT,SP.POP.GROW,Data sources : Eurostat
360,MLT,SP.POP.TOTL,Data sources : Eurostat
361,MMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
362,MMR,SP.POP.GROW,Data sources: United Nations World Population Prospects
363,MNE,SP.POP.GROW,"Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
364,MNE,SP.POP.TOTL,"Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
365,MNG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
366,MNG,SP.POP.GROW,Data sources: United Nations World Population Prospects
367,MNP,SP.POP.GROW,Data sources: United Nations World Population Prospects
368,MNP,SP.POP.TOTL,Data sources : United Nations World Population Prospects
369,MOZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
370,MOZ,SP.POP.GROW,Data sources: United Nations World Population Prospects
371,MRT,SP.POP.GROW,Data sources: United Nations World Population Prospects
372,MRT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
373,MUS,SP.POP.TOTL,"Data sources : Statistics Mauritius, United Nations World Population Prospects"
374,MUS,SP.POP.1564.FE.IN,Derived using ratio of age group from WPP and World Bank population.
375,MUS,SP.POP.1564.TO,Derived using ratio of age group from WPP and World Bank population.
376,MUS,SP.POP.1564.TO.ZS,Including Agalega and St. Brandon.
377,MUS,SP.POP.1564.MA.IN,Derived using ratio of age group from WPP and World Bank population.
378,MUS,SP.POP.0014.TO,Derived using ratio of age group from WPP and World Bank population.
379,MUS,SP.POP.0014.TO.ZS,Including Agalega and St. Brandon.
380,MUS,SP.POP.GROW,"Data sources: Central Statistics Office, United Nations Population and Vital Statistics Report, United Nations World Population Prospects"
381,MUS,SP.POP.0014.MA.IN,Derived using ratio of age group from WPP and World Bank population.
382,MUS,SP.POP.0014.FE.IN,Derived using ratio of age group from WPP and World Bank population.
383,MUS,SP.POP.TOTL.FE.ZS,Excluding Agalega and St. Brandon.
384,MUS,SP.POP.TOTL.MA.ZS,Excluding Agalega and St. Brandon.
385,MWI,SP.POP.GROW,Data sources: United Nations World Population Prospects
386,MWI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
387,MYS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
388,MYS,SP.POP.1564.TO.ZS,Including Sabah and Sarawak.
389,MYS,SP.POP.0014.TO.ZS,Including Sabah and Sarawak.
390,MYS,SP.POP.GROW,Data sources: United Nations World Population Prospects
391,MYS,SP.POP.TOTL.MA.ZS,Including Sabah and Sarawak.
392,MYS,SP.POP.TOTL.FE.ZS,Including Sabah and Sarawak.
393,NAM,SP.POP.GROW,Data sources: United Nations World Population Prospects
394,NAM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
395,NCL,SP.POP.TOTL,Data sources : Institute of Statistics and Economic Studies
396,NCL,SP.POP.GROW,"Data sources: Institute of Statistics and Economic Studies, 1983 Census, 1989 Census, 1996 Census"
397,NER,SP.POP.GROW,Data sources: United Nations World Population Prospects
398,NER,SP.POP.TOTL,Data sources : United Nations World Population Prospects
399,NGA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
400,NGA,SP.POP.GROW,Data sources: United Nations World Population Prospects
401,NIC,SP.POP.GROW,Data sources: United Nations World Population Prospects
402,NIC,SP.POP.TOTL,Data sources : United Nations World Population Prospects
403,NLD,SP.POP.TOTL,Data sources : Eurostat
404,NLD,SP.POP.GROW,Data sources : Eurostat
405,NOR,SP.POP.GROW,Data sources : Eurostat
406,NOR,SP.POP.TOTL,Data sources : Eurostat
407,NPL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
408,NPL,SP.POP.GROW,Data sources: United Nations World Population Prospects
409,NZL,SP.POP.GROW,Data sources: Statistics New Zealand
410,NZL,SP.POP.TOTL,Data sources : Statistics New Zealand
411,OMN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
412,OMN,SP.POP.GROW,Data sources: United Nations World Population Prospects
413,PAK,SP.POP.GROW,Data sources: United Nations World Population Prospects
414,PAK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
415,PAN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
416,PAN,SP.POP.GROW,Data sources: United Nations World Population Prospects
